;¸½¼Ó±¬ÂÊ£¬¹ÖÌ«ÉÙ¿É´Ó°ÑÕâÀï¼Óµ½MonGen.txtÎÄ¼þÄÚÈÝºóÃæ
´úÂë  x     y     Ãû³Æ          ·¶Î§  ÊýÁ¿  Ê±¼ä


0     350   200   ¼¦              25    35     3
0     280   260   ¼¦              25    35     3
0     405   240   ¼¦              25    35     3
0     340   310   ¼¦              25    35     3
0     600   580   Â¹              40    40     3
0     663   661   ¼¦              20    40     3
0     295   625   ¼¦              50    40     3
0     645   625   ¼¦              40    40     3



;±ÈÆæÊ¡±±²¿
0     110   60    µ¾²ÝÈË          70    20    3
0     110   80    ¶à¹³Ã¨          60    20    3
0     220   60    µ¾²ÝÈË          60    20    3
0     150   130   ¶à¹³Ã¨          20    50    3
0     140   100   ¶¤°ÒÃ¨          20    50    3
0     90    240   °ëÊÞÈË          60    20    3
0     65    185   ¶¾Ö©Öë          30    20    3
0     120   200   Ê³ÈË»¨          60    20    3
0     210   185   Â¹              45    20    3
0     265   125   Â¹              45    20    3
0     310   95    Â¹              45    20    7
0     225   20    ¸òó¡            20    30    7
0     280   380   ¸òó¡            20    30    7
0     340   80    ¸òó¡            20    30    7
0     60    300   ¶¾Ö©Öë          60    20    7
;
;±ÈÆæÊ¡¶«²¿
0     420   95    °ëÊÞÈË          50    20      9
0     570   120   ¶¾Ö©Öë          80    20      9
0     615   110   ¶¾Ö©Öë          50    20      9
0     560   200   °ëÊÞÈË          90    20      9
0     620   370   ¶¾Ö©Öë          60    20       9
;
0     420   380   Â¹              45    20      3
0     470   330   Â¹              45    20      3
0     395   420   ¸òó¡            20      40    5
0     475   500   Ê³ÈË»¨          90    20      5
0     405   515   ¸òó¡            30    20      6
0     500   400   µ¾²ÝÈË0         50    20      2
0     510   410   ¶à¹³Ã¨0         50    20      2
0     510   410   ¶¤°ÒÃ¨0         50    20      2
0     560   320   °ëÊÞÈË          90    20      5
0     480   450   °ëÊÞÈË          60    20      5
0     600   400   É­ÁÖÑ©ÈË        70    20      5
0     600   400   °ëÊÞÈË          80    20      5
0     610   405   Ê³ÈË»¨          60    20      9
0     650   420   ¶¾Ö©Öë          30    30    9

0     600   580   Â¹              40   20      2
0     663   661   ¼¦              20   20      2
0     540   530   µ¾²ÝÈË0         70   20      2
0     550   550   Â¹              70   20      2
0     570   610   Â¹              50   20      2
0     640   520   ¶à¹³Ã¨0         50   20      2
0     640   520   ¶¤°ÒÃ¨0         50   20      2
0     640   530   µ¾²ÝÈË0         50   20      2

0     205   325   Â¹              50   20      5
0     260   380   Â¹              50   20      5
0     300   410   ¸òó¡            50   20      6
0     200   400   µ¾²ÝÈË0         50   20      6
0     180   420   ¶à¹³Ã¨0         50   20      6
0     180   420   ¶¤°ÒÃ¨0         50   20      6
0     110   425   É­ÁÖÑ©ÈË        70   20      7
0     110   440   °ëÊÞÈË          70   20      7
0     220   470   °ëÊÞÈË          70   20      7
0     140   500   °ëÊÞÈË          50   20      7
0     130   510   Ê³ÈË»¨          70   20      9
0     165   550   É­ÁÖÑ©ÈË        60   20      7
0     340   550   ¶¤°ÒÃ¨0         50   20      2
